News Agency,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet
@BBC,11,Sat Mar 31 07:03:06 +0000 2018,0.0,0.0,1.0,0.0,Tweet 11: Brown bear cubs living in the forests of Sweden are spending longer with their mothers. 🐻 🌲 https://t.co/WILDpFotl9 https://t.co/RukaU9k8Ja
@BBC,12,Fri Mar 30 20:23:06 +0000 2018,-0.4767,0.0,0.846,0.154,"Tweet 12: Everyone is at rock bottom. And then Matt makes things worse. 🤦

@Matt_LeBlanc, @StephenMangan and Tamsin Greig are… https://t.co/wMqkSpRiUJ"
@BBC,13,Fri Mar 30 19:00:32 +0000 2018,-0.3182,0.0,0.723,0.277,Tweet 13: 😱👀 When a cheetah interrupts your safari. https://t.co/Zi29GwxYA3
@BBC,14,Fri Mar 30 18:41:56 +0000 2018,0.6369,0.219,0.781,0.0,"Tweet 14: RT @BBCOne: The search is on for Britain’s Best Home Cook. 

#BBHC @ClaudiaWinkle @DanDoherty_ @Chris_Bavin https://t.co/yw46HaGnKW"
@BBC,15,Fri Mar 30 18:01:02 +0000 2018,-0.5983,0.0,0.804,0.196,"Tweet 15: 😂 'JESUS DID NOT HAVE CUSTARD CREAMS!'

Don't let the Lent Police catch you cheating this #EasterWeekend. https://t.co/lLXFoF5fdg"
@BBC,16,Fri Mar 30 17:29:06 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 16: An Oscar-winning short film, The Silent Child tells the story of a profoundly deaf child born to hearing parents, w… https://t.co/AD1CGpoZvu"
@BBC,17,Fri Mar 30 17:06:00 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 17: 'Change doesn't come from outside.'

#Pilgrimage: The Road to Santiago | 9pm | @BBCTwo https://t.co/N4Fxc0EU77"
@BBC,18,Fri Mar 30 16:26:45 +0000 2018,0.5719,0.266,0.734,0.0,Tweet 18: ❤️ A dying man was granted his final wish in hospital - a visit from his dog. https://t.co/xE4rkcBJNv
@BBC,19,Fri Mar 30 16:02:04 +0000 2018,-0.2144,0.073,0.81,0.116,"Tweet 19: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.… https://t.co/fe3MDr2TN9"
@BBC,20,Fri Mar 30 15:25:47 +0000 2018,0.8715,0.377,0.623,0.0,"Tweet 20: RT @bbceurovision: 🇬🇧 Presenting our 2018 dream team! @Grahnort hosts the Grand Final on @BBCOne. Fresh from You Decide, we welcome @Rylan!…"
@BBC,21,Fri Mar 30 15:10:56 +0000 2018,0.0,0.0,1.0,0.0,Tweet 21: RT @BBCNews: Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV
@BBC,22,Fri Mar 30 14:54:01 +0000 2018,0.2023,0.073,0.927,0.0,Tweet 22: We use an estimated 8.5b plastic straws every year in the UK and they're among the top 10 items found in beach clea… https://t.co/K9r6HRVu3V
@BBC,23,Fri Mar 30 13:05:00 +0000 2018,0.5859,0.241,0.759,0.0,Tweet 23: Graphic artist Gabriella Marcella uses a vintage #Risograph printer to produce amazing designs. https://t.co/W9JK5vLbSf
@BBC,24,Fri Mar 30 12:04:01 +0000 2018,0.4019,0.124,0.876,0.0,"Tweet 24: Meena was raised to be a ‘good Indian girl' - to cook, clean and find a husband.

But as an environmental activist… https://t.co/HWMRk97Wdm"
@BBC,25,Fri Mar 30 10:39:54 +0000 2018,0.4574,0.213,0.697,0.09,Tweet 25: RT @BBC6Music: Elementary! Martin Freeman and @ACIDJAZZRECS' @eddiepiller delve into their record bag(gins) to share some choice cuts as th…
@BBC,26,Fri Mar 30 10:33:02 +0000 2018,0.0,0.0,1.0,0.0,Tweet 26: 🐘🤷‍♀️ A video of a 'smoking' wild elephant in India is baffling scientists and wildlife experts around the world. https://t.co/CENdAQYy5v
@BBC,27,Fri Mar 30 10:03:04 +0000 2018,0.25,0.091,0.909,0.0,"Tweet 27: Advertisers are the experts at persuading us to eat burgers, crisps and fizzy drinks. But could they convince us to… https://t.co/JpuBKADOMB"
@BBC,28,Fri Mar 30 09:06:02 +0000 2018,0.0,0.0,1.0,0.0,Tweet 28: It's been described as a 'game changer' for Multiple Sclerosis patients - scientists say a stem cell transplant can… https://t.co/Ru1R67FHig
@BBC,29,Fri Mar 30 08:27:05 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 29: 🍍 A squeeze of pineapple juice works wonders for dough...

🍞 Here are 10 things you knead to know about bread! 

👉… https://t.co/ajVBvN31mi"
@BBC,30,Fri Mar 30 07:30:02 +0000 2018,0.0258,0.126,0.751,0.123,"Tweet 30: 😢🐘 This poor elephant has his foot caught on a deadly snare. 
Can the team save him before its too late?… https://t.co/7pbk2WA7hW"
@BBC,31,Thu Mar 29 20:41:00 +0000 2018,-0.296,0.0,0.901,0.099,"Tweet 31: At a time when men thought women shouldn't speak until they were spoken to, this female artist refused to be silent… https://t.co/mbaGBW4xMj"
@BBC,32,Thu Mar 29 18:45:08 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 32: RT @BBCBreakfast: Counting down the hours until you go home for Easter?
🌧🌤🌨 Here's your Easter weekend forecast: https://t.co/EXeBCHutS4"
@BBC,33,Thu Mar 29 18:44:20 +0000 2018,0.0,0.0,1.0,0.0,Tweet 33: RT @bbcrb: Retirement's looking rosy for Hank the police horse! 🐎😆 https://t.co/xB9kXZeWNE
@BBC,34,Thu Mar 29 18:44:11 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 34: RT @BBCNewsbeat: Anthony Joshua faces Joseph Parker in Cardiff on Saturday.
And he's eating a LOT to prepare... 😋 💪 https://t.co/qp6xw04IiC"
@BBC,35,Thu Mar 29 18:43:51 +0000 2018,0.0,0.0,1.0,0.0,Tweet 35: RT @BBCOne: Anyone else having a 'chilled one'? 🐼 https://t.co/WRBeDdaK18
@BBC,36,Thu Mar 29 18:05:02 +0000 2018,0.4522,0.194,0.697,0.109,"Tweet 36: ❤️ 'That was it I just totally fell in love with art.'

🎶 How grime changed Ade Adesina's life. https://t.co/eDyh75YBvl"
@BBC,37,Thu Mar 29 17:04:05 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 37: 🍳 Wanna get the kids cooking this #EasterWeekend? 
Here are 10 recipes to keep them busy in the kitchen.
👉… https://t.co/5xxQNyyRMg"
@BBC,38,Thu Mar 29 16:12:19 +0000 2018,0.784,0.288,0.712,0.0,Tweet 38: RT @BBCTaster: We've just released a host of amazing new artefacts for the #CivilisationsAR app! Discover history's treasures wherever you…
@BBC,39,Thu Mar 29 16:03:03 +0000 2018,-0.3164,0.0,0.466,0.534,Tweet 39: ✊ Plastic protest! https://t.co/9m59wayYH8
@BBC,40,Thu Mar 29 15:41:25 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 40: RT @bbcarts: This Picture Wall in Lahore, Pakistan stretches for over 450 metres and is full of mesmerising mosaics https://t.co/ZFhuF7PiQP"
@BBC,41,Thu Mar 29 15:31:22 +0000 2018,0.0,0.0,1.0,0.0,Tweet 41: RT @bbcwritersroom: #OrdealByInnocence begins on @BBCOne on Easter Sunday 1st April at 9pm and @BBCiPlayer. #Screenwriter @PhelpsieSarah ex…
@BBC,42,Thu Mar 29 15:26:27 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 42: RT @bbcideas: Author Lionel Shriver says we project ourselves on to our possessions – and that she is her toy donkey, Clippety 😊.

We'd lik…"
@BBC,43,Thu Mar 29 15:24:08 +0000 2018,0.0,0.0,1.0,0.0,Tweet 43: RT @BBCTwo: Imagine living in this incredible Swiss chalet! 😍🇨🇭 #TheWorldsMostExtraordinaryHomes https://t.co/NofijuERJg
@BBC,44,Thu Mar 29 15:04:02 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 44: 😂 So, who's going out tonight? https://t.co/u2L4sEKjE2"
@BBC,45,Thu Mar 29 14:21:11 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 45: 🎹🎶 Why it's never too late to learn an instrument. 
👉 https://t.co/lbBppX8XlO

#PianoDay https://t.co/x1CegC7iho"
@BBC,46,Thu Mar 29 14:07:48 +0000 2018,0.0,0.0,1.0,0.0,Tweet 46: RT @bbcpress: Everyone's favourite fox reads out #MeanTweets (if he can get the right app open). For more @RealBasilBrush watch #Generation…
@BBC,47,Thu Mar 29 12:31:03 +0000 2018,0.8268,0.299,0.701,0.0,"Tweet 47: Happy birthday to Alfred and Robert! 🎈 🎉 Britain's two oldest men, born on the same day, have been celebrating turn… https://t.co/R7GXbEXl3v"
@BBC,48,Thu Mar 29 11:00:21 +0000 2018,-0.6249,0.124,0.581,0.295,"Tweet 48: This bizarrely cute creature is just the latest species to suffer a social media selfie ban. 
👉… https://t.co/bG9qcXtouW"
@BBC,49,Thu Mar 29 10:18:02 +0000 2018,0.6908,0.231,0.769,0.0,"Tweet 49: RT @BBCRadio2: Today we say farewell to the brilliant @RealLynnBowles. 😢
Her sharp wit, warm tones, and encyclopaedic knowledge of the UK's…"
@BBC,50,Thu Mar 29 08:00:12 +0000 2018,0.784,0.345,0.655,0.0,Tweet 50: 🐶❤️ Biscuit the robotic pup is helping the elderly cope with conditions like dementia. What a good boy! https://t.co/5vpg6KS031
@BBC,51,Thu Mar 29 07:27:07 +0000 2018,0.0,0.0,1.0,0.0,Tweet 51: 👀🌸 The world famous cherry blossoms of Japan bring hundreds of thousands of visitors to see them and this year they… https://t.co/kGMsyZnWzi
@BBC,52,Thu Mar 29 07:00:10 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 52: What do you get if you cross a polar bear and a grizzly? 

🐻😍… A pizzly! 
#DavidAttenboroughsNaturalCuriosities https://t.co/FwqiMiTd2m"
@BBC,53,Wed Mar 28 18:00:05 +0000 2018,0.0,0.0,1.0,0.0,Tweet 53: 🇮🇪 This 800-year-old hotel in Ireland is simply incredible.  #AmazingHotels https://t.co/OAKKCsexPW
@BBC,54,Wed Mar 28 17:00:12 +0000 2018,0.296,0.109,0.891,0.0,"Tweet 54: 📚 'Words do not live in dictionaries. They live in the mind.'

Hear the only surviving recording of #VirginiaWoolf,… https://t.co/Puwg8Mve7N"
@BBC,55,Wed Mar 28 16:30:00 +0000 2018,-0.8225,0.0,0.688,0.312,Tweet 55: The government rates the global outbreak of a deadly flu virus as a major threat to the UK. But how are flu vaccine… https://t.co/wzMylfDBrP
@BBC,56,Wed Mar 28 16:00:10 +0000 2018,0.0,0.0,1.0,0.0,Tweet 56: Slacking off in Dubai. https://t.co/a3oSKIxfSK
@BBC,57,Wed Mar 28 15:35:27 +0000 2018,0.7506,0.28,0.72,0.0,Tweet 57: RT @BBCTheOneShow: The fantastic @george_ezra warming up with a quick cuppa after sound check. Join us at 7pm where he’ll be performing liv…
@BBC,58,Wed Mar 28 13:32:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 58: Two-thirds of drivers say they are ""regularly dazzled"" by oncoming headlights. 🚘 https://t.co/gwSgpsP6xx https://t.co/i9m9ph8QM1"
@BBC,59,Wed Mar 28 12:26:01 +0000 2018,-0.3182,0.0,0.887,0.113,"Tweet 59: The Masked Plumber is back. 
And this time, he wants to show you how to unblock a sink trap. https://t.co/t1NIgRpZnO"
@BBC,60,Wed Mar 28 11:50:54 +0000 2018,0.0,0.0,1.0,0.0,Tweet 60: RT @bbceurovision: We are starting a #Eurovision 2018 group chat. The tea from when @surieofficial met @saaraaalto 👉 https://t.co/c3PuiYT6S…
@BBC,61,Wed Mar 28 11:49:07 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 61: RT @BBCR1: ""Last night I did have a very, very large bra, and it was very, very sweaty.""

@JaredLeto lets @Grimmers know about what gets th…"
@BBC,62,Wed Mar 28 11:47:35 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 62: RT @BBCRadio4: Listen to the first three episodes of The Hitchhiker's Guide to the Galaxy: Hexagonal Phase now.

https://t.co/GdvQZf3ijv

#…"
@BBC,63,Wed Mar 28 11:47:08 +0000 2018,-0.34,0.0,0.902,0.098,"Tweet 63: RT @bbcworldservice: Do you say fireman or firefighter? The woman in charge of the London Fire Brigade, Dany Cotton, says 'fireman' is sexi…"
@BBC,64,Wed Mar 28 11:45:32 +0000 2018,0.0,0.0,1.0,0.0,Tweet 64: RT @BBCBreakfast: Take a look at this if you're wondering WHO PAYS for running the new plastic bottle and can deposit scheme: https://t.co/…
@BBC,65,Wed Mar 28 11:42:34 +0000 2018,0.0,0.0,1.0,0.0,Tweet 65: RT @BBCNewsround: Some advice from children on what NOT to say to people with an #invisiblecondition https://t.co/mGUj3TWB2J #Dynamo https:…
@BBC,66,Wed Mar 28 11:30:09 +0000 2018,0.3182,0.108,0.837,0.056,Tweet 66: ♻️👛 People in England will soon have to pay a deposit when they buy drinks bottles and cans in a bid to boost recyc… https://t.co/qyKBqES5b3
@BBC,67,Wed Mar 28 11:04:03 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 67: 😲 Scientists in Australia have discovered the remains of a mummy in a 2,500-year-old coffin that was previously cla… https://t.co/2S4q2mDImu"
@BBC,68,Wed Mar 28 10:53:47 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 68: RT @bbcthree: In our latest doc, we investigate allegations that R Kelly has been training a 14-year-old girl to be one his sex ""pets"" http…"
@BBC,69,Wed Mar 28 10:33:03 +0000 2018,-0.3612,0.0,0.865,0.135,Tweet 69: Tickling sticks have been placed on statues in Liverpool ahead of Sir Ken Dodd's funeral. https://t.co/pPGGg07ZQi https://t.co/LSwzv5Qipw
@BBC,70,Wed Mar 28 09:53:41 +0000 2018,0.0,0.0,1.0,0.0,Tweet 70: 🛁🐤 Are your bathroom toys in-fact DEADLY? 😱 https://t.co/YrtMOzTvrb
@BBC,71,Wed Mar 28 09:14:19 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 71: RT @bbcarts: Andrew Scott, as Hamlet, performs the opening lines of #Shakespeare's most famous soliloquy. Watch the full production at 9pm,…"
@BBC,72,Wed Mar 28 08:00:02 +0000 2018,-0.7351,0.0,0.744,0.256,"Tweet 72: ❤️ After seeing her brother's struggles with depression, Luli's on a mission to break the stigma in the black commu… https://t.co/kl1ak4Gu6w"
@BBC,73,Wed Mar 28 07:30:05 +0000 2018,-0.25,0.115,0.692,0.192,"Tweet 73: 😤 Feeling moody? 
Your gut bacteria might be to blame...
👉 https://t.co/2oPWKjf4D2 https://t.co/Xr5MwczfGR"
@BBC,74,Wed Mar 28 07:00:02 +0000 2018,-0.4588,0.0,0.824,0.176,"Tweet 74: 'I made a decision to not be unbelievably busy.'

@Meshel_Laurie on beating busyness with Buddhism. https://t.co/7ynSgadRyq"
@BBC,75,Tue Mar 27 18:30:07 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 75: When mother Marie mysteriously leaves the family home, the repercussions are enormous.

#ComeHome | 9pm | @BBCOne |… https://t.co/S4JgnzQlAx"
@BBC,76,Tue Mar 27 18:00:08 +0000 2018,0.2942,0.128,0.872,0.0,"Tweet 76: 🇩🇪😂 Even if you don't speak German, this is worth watching until the end! 
#LiveAtTheApollo https://t.co/J3l8oToRbk"
@BBC,77,Tue Mar 27 17:00:07 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 77: 🍜 We've got oodles of noodles with recipes for pad Thai, chow mein, ramen, pho and stir-fries.
👉… https://t.co/JWfrcIhn2X"
@BBC,78,Tue Mar 27 16:00:15 +0000 2018,0.0,0.0,1.0,0.0,Tweet 78: 😬 What does Facebook know about you? https://t.co/lG4ffeCG09
@BBC,79,Tue Mar 27 15:40:40 +0000 2018,0.6114,0.25,0.75,0.0,Tweet 79: RT @BBCTwo: Happy #WorldTheatreDay! *leaves this here and runs away* @SaraPascoe 🎭😂 https://t.co/3XlEb5gr15
@BBC,80,Tue Mar 27 15:38:26 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 80: RT @BBCScotland: Meet the master of the radiator harp

@DaftLimmy returns to BBC Scotland on Thursday 5 April. https://t.co/G7mjFEJx6k"
@BBC,81,Tue Mar 27 15:36:22 +0000 2018,-0.3064,0.0,0.866,0.134,Tweet 81: RT @bbcthree: 12-year-old Keilan has very severe curvature of the spine. He needs surgery ASAP but the 5 hour operation could leave him par…
@BBC,82,Tue Mar 27 15:33:24 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 82: RT @bbccomedy: Cathy, master of shade. #Mum https://t.co/VjC2ttkaNF"
@BBC,83,Tue Mar 27 15:26:23 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 83: RT @BBCR1: (•_•)
&lt;)   )╯who
 /    \ 

  (•_•)
 \(   (&gt; bit
  /    \

 (•_•)
&lt;)   )╯Beyoncé? 
 /    \ 

https://t.co/7hQd9mcKUY"
@BBC,84,Tue Mar 27 14:30:37 +0000 2018,-0.5994,0.0,0.86,0.14,"Tweet 84: RT @BBCWorld: It's 50 years since the death of Yuri Gagarin, the Russian cosmonaut who was the first man to travel into space 👨‍🚀 https://t…"
@BBC,85,Tue Mar 27 13:33:01 +0000 2018,0.0,0.0,1.0,0.0,Tweet 85: ❤️ The first polar bear cub to be born in the UK for 25 years has been filmed adapting to its surroundings. https://t.co/EsxbH18cN5
@BBC,86,Tue Mar 27 12:00:08 +0000 2018,0.0,0.0,1.0,0.0,Tweet 86: The ancient Greeks thought a life of ‘constant leisure’ was the highest life you could live. https://t.co/sascCq8iks
@BBC,87,Tue Mar 27 11:05:06 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 87: There's over 50 classic cookery shows being served up on @BBCiPlayer this #EasterWeekend. 
👉 https://t.co/CKECZMGmx8 https://t.co/j3RfAYQvTI"
@BBC,88,Tue Mar 27 11:00:06 +0000 2018,0.25,0.125,0.875,0.0,"Tweet 88: 🎭 @MargotRobbie is planning a new TV series, which will give Shakespeare plays a 'female perspective'.
👉… https://t.co/pTLXfve0ds"
@BBC,89,Tue Mar 27 09:52:08 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 89: 🚀🌎 'Mad' Mike Hughes flew his home-made rocket to try and 'prove' the earth is flat. 

🚨 SPOILER: it's not.  https://t.co/f5oNRItwyq"
@BBC,90,Tue Mar 27 09:40:22 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 90: RT @BBCTwo: Now we've got our country back... what actually is it? 🤔

#CunkOnBritain starts Tuesday 3 April, 10pm, @BBCTwo. @missdianemorga…"
@BBC,91,Tue Mar 27 09:39:23 +0000 2018,0.4019,0.124,0.876,0.0,Tweet 91: RT @BBCBreakfast: A team of abseilers have been roped in to give Cheddar Gorge in Somerset an extreme spring clean. https://t.co/iYmkiizeRi
@BBC,92,Tue Mar 27 09:38:59 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 92: RT @BBCR1: We can't get enough of @george_ezra's Live Lounge 😍

Watch him perform 'Paradise' and cover 'These Days' right here 👉https://t.c…"
@BBC,93,Tue Mar 27 09:36:48 +0000 2018,0.5994,0.157,0.843,0.0,"Tweet 93: RT @bbcgetinspired: Check out @JesseLingard and some of his @PremierLeague mates showing us their super moves. 🕺🏻 

Show us yours with #sup…"
@BBC,94,Tue Mar 27 08:00:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 94: When this woman visited an uninhabited Caribbean island, the last thing she expected was to find it covered in plas… https://t.co/cpKW9tl61v"
@BBC,95,Tue Mar 27 07:30:04 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 95: About 700,000 people in the UK are on the autism spectrum, with five times as many males as females being diagnosed… https://t.co/PXJMuG76Tn"
@BBC,96,Tue Mar 27 07:00:08 +0000 2018,-0.4588,0.049,0.827,0.124,"Tweet 96: The number of children living in relative poverty in the UK has risen to 4.1m. 

This is the story of Tyler, one of… https://t.co/xFtEAjBTXC"
@BBC,97,Mon Mar 26 19:03:02 +0000 2018,-0.6249,0.0,0.806,0.194,"Tweet 97: Filmed in Nottingham during the worst winter for the NHS on record, groundbreaking series #Hospital returns tonight… https://t.co/PVSIcvCGc9"
@BBC,98,Mon Mar 26 18:24:04 +0000 2018,0.7783,0.312,0.688,0.0,"Tweet 98: Tonight, George Alagiah explores the fascinating history of Queen Elizabeth II and her beloved Commonwealth. 

The… https://t.co/xXer4FRyTq"
@BBC,99,Mon Mar 26 17:30:04 +0000 2018,0.0,0.0,1.0,0.0,Tweet 99: 🐶😂 It was a Dachsh(und) to the finish line. https://t.co/7VvkU5GfUg
@BBC,100,Mon Mar 26 16:25:02 +0000 2018,0.5859,0.213,0.787,0.0,"Tweet 100: ✈️ Joy and Mary flew WW2 planes before any navigation system was installed.
#RAFat100 https://t.co/yxNMblfTEf"
@CBS,1,Fri Mar 30 16:50:00 +0000 2018,0.4926,0.127,0.873,0.0,Tweet 1: Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
@CBS,2,Thu Mar 29 17:32:40 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 2: Expect epic performances by @kanebrown , @kelly_clarkson, @OfficialJackson, and more at this year's 53rd #ACMawards… https://t.co/3yso7Z0cjv"
@CBS,3,Thu Mar 29 17:30:02 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 3: Will @HIGHVALLEY, @LancoMusic, @LOCASHmusic, @MidlandOfficial, or @runawayjune be named New Vocal Duo Or Group Of T… https://t.co/v0QIPLC47R"
@CBS,4,Tue Mar 27 21:00:01 +0000 2018,0.3818,0.212,0.68,0.108,Tweet 4: Count on Entertainer Of The Year nominee @LukeBryanOnline to crash the party with an epic performance at the 53rd… https://t.co/27ua60HTqu
@CBS,5,Tue Mar 27 17:00:00 +0000 2018,0.296,0.099,0.901,0.0,Tweet 5: Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorab… https://t.co/jz0jaShZIj
@CBS,6,Mon Mar 26 22:14:25 +0000 2018,0.508,0.12,0.88,0.0,"Tweet 6: RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…"
@CBS,7,Mon Mar 26 20:42:48 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 7: RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…"
@CBS,8,Mon Mar 26 16:59:19 +0000 2018,0.7959,0.214,0.786,0.0,Tweet 8: RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…
@CBS,9,Mon Mar 26 16:05:18 +0000 2018,0.807,0.378,0.622,0.0,"Tweet 9: Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj"
@CBS,10,Sun Mar 25 23:57:34 +0000 2018,0.0,0.0,1.0,0.0,Tweet 10: New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs
@CBS,11,Sun Mar 25 17:15:25 +0000 2018,0.5319,0.157,0.78,0.062,Tweet 11: Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR
@CBS,12,Sat Mar 24 22:46:53 +0000 2018,0.5399,0.199,0.801,0.0,Tweet 12: RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P
@CBS,13,Sat Mar 24 22:46:43 +0000 2018,-0.34,0.115,0.7,0.185,Tweet 13: RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. 💜💜💜 #PaleyFest
@CBS,14,Sat Mar 24 22:25:03 +0000 2018,0.7003,0.209,0.791,0.0,"Tweet 14: RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…"
@CBS,15,Sat Mar 24 22:21:37 +0000 2018,0.0,0.0,1.0,0.0,Tweet 15: RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! 💜
@CBS,16,Sat Mar 24 22:21:34 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 16: RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…"
@CBS,17,Sat Mar 24 22:21:26 +0000 2018,0.7184,0.333,0.667,0.0,"Tweet 17: RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest"
@CBS,18,Sat Mar 24 22:21:23 +0000 2018,0.9451,0.42,0.58,0.0,Tweet 18: RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…
@CBS,19,Sat Mar 24 20:00:02 +0000 2018,0.0,0.0,1.0,0.0,"Tweet 19: Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x"
@CBS,20,Fri Mar 23 22:33:52 +0000 2018,0.6996,0.194,0.806,0.0,Tweet 20: Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW
@CBS,21,Fri Mar 23 22:33:04 +0000 2018,0.4939,0.314,0.686,0.0,Tweet 21: RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU
@CBS,22,Fri Mar 23 22:32:48 +0000 2018,0.8997,0.355,0.645,0.0,"Tweet 22: RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…"
